Insured Name	Underwriter Name	Producing Underwriter Name	Inception Date	Inception Year	Expiry Date	Bound Date	Producing Mosaic Entity	Class of Business	Service Company	Agreement YOA	FON Date	Accumulates on Agreement	Accumulates on Dec	Carrier Reference	Master Policy Number	Policy Reference	Policy Line Reference	2610 Policy Line Reference	Is Third Party Capacity Deployed?	Unique Market Reference	Asta UMR (Agreement)	Master Broker	Broker Name	Broker Key	Obligor	Commodity	Fund Code (as per XFI)	Reinsured	Renewal Date	Policy Period Days	Tenor in Months	Method of Placement (MOP)	Mapped Method of Placement (MOP)	Territory	Insured Domicile	Insured State	Reinsured Domicile	Lloyds Industrial Sector Code	Lloyds Industrial Sector Description	Mosaic Occupation Code	Mosaic Occupation Description	Occupation Source Code	Occupation Source Description	Occupation Code	Occupation Description	NAICS Code	NAICS Description	Bank/Non Bank	Slip Lead	Bureau Lead	Written Line (%)	Agency Line/Share (%)	Signed Line Adjustment	Avg Agency Line/Share (%) 	Mosaic 1609 line (%)	Mosaic 2610 Line (%)	Avg Mosaic 1609 Line (%)	Avg Mosaic 2610 Line (%)	Mosaic 1609 Order (%)	Limit Currency	Limit (Original Currency)	Limit (USD)	Type of Layer	Enterprise Value (Original)	Enterprise Value (USD)	Excess (Original Currency)	Excess (USD)	Deductible (Original Currency)	Deductible (USD)	100% Gross or Estimated Written Premium (Original Currency)	Premium Currency	100% Gross or Estimated Written Premium (USD)	100% Gross or Estimated Written Premium by YOA (USD)	100% Minimum or Deposit Premium (Original Currency)	Class	Premium Type	Lloyds Risk Code	Agency GELR (%)	Mosaic GELR (%)	Brokerage (%)	Ceding Commission (%)	Third Party Coverholder Commission (%)	Consortium Commission (%)	Original Commission (%)	Mosaic 1609 Agency Commission (%)	Mosaic 1609 Total Commission (%)	Third Party Agency Commission (%)	Third Party Total Commission (%)	Agency Share Gross Written Premium (Original Currency)	Mosaic 1609 Share Gross Written Premium (Original Currency)	Business Plan Loss Ratio (%)	Mosaic 1609 Share Benchmark Premium (Original Currency)	Mosaic 1609 Share Benchmark Premium (USD)	Achieved Price (%)	Mosaic 1609 Exposure (Original Currency)	Mosaic 1609 Share Gross Written Premium (GBP)	Mosaic 1609 Original Commission Amount (GBP)	Mosaic 1609 Agency Commission Amount (GBP)	Mosaic 1609 Expected claims (Original Currency)	Mosaic 1609 Expected claims (USD)	Mosaic 1609 Expected claims (GBP)	Mosaic 1609 Expected claims by YOA (GBP)	Agency Expected claims (Original Currency)	Agency Expected claims (USD)	Agency Expected claims (GBP)	Agency Expected claims by YOA (GBP)	Mosaic 1609 Exposure (USD)	Mosaic 1609 Share Gross Written Premium (USD)	Mosaic 1609 Original Commission Amount (USD)	Mosaic 1609 Agency Commission Amount (USD)	Agency Share Gross Written Premium (USD)	Agency Exposure (Original Currency)	Agency Exposure (USD)	Mosaic 1609 Total Commission (USD)	Mosaic 1609 Exposure by YOA (USD)	 Mosaic 1609 Share Gross Written Premium by YOA (USD) 	Mosaic 1609 Original Commission Amount by YOA (USD)	Agency Share Gross Written Premium by YOA (USD)	Agency Exposure by YOA (USD)	Mosaic 1609 Total Commission by YOA (USD)	Mosaic 1609 Share Gross Written Premium by YOA (GBP)	Mosaic 1609 Original Commission Amount by YOA (GBP)	Mosaic 1609 Agency Commission Amount by YOA (GBP)	Booking Completed Date	Policy Created By	Date Written	Peer Reviewer	Peer Reviewed Date	Assets Under Management	Asset Size	Jurisdiction Country	Jurisdiction State	Cyber Clause Status	Clause Code	Clause Title	Rev/ Turnover (Original Currency)	No. of Employees	Policy Status	Ops Mapped Status	XFI-Policy Level Status	XFI-Policy Activity Status	XFI-Policy Line Status	Renewal Status	Defense Costs Covered	Onshore/Offshore	Limit Basis	Renewal Found in XFI	Renewed Policy Line Reference	Reinstatement Applicable	No of Reinstatement	Risk Adjusted Rate Change (%)	Expired Gross Premium (USD) 100% of Previous Policy	Expired Gross Premium Agency (USD) of previous policy	Mosaic 1609 Expired Gross Premium (USD) of Previous policy	Amount Paid By Insured (USD)	Net Premium (USD)	Amount Paid By Insured by YOA (USD)	Net Premium by YOA (USD)
Thornfield Industries SA	Okafor, Chidi	Okafor, Chidi	25/01/2026	2026	25/04/2027	28/12/2025	Mosaic UK	Environmental Liability	Mosaic UK	2026		Yes		DEMO00022AA		DEMO00022	DEMO00022AA			BDEMO00022		Gallagher	Gallagher Limited	3332					26/04/2027	456	15	Direct	Facility/DUA	Colombia	United States	Texas		10007	J. INFORMATION AND COMMUNICATION	MOS009	Technology					541512	Computer Systems Design Services		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	4.17%	4.17%			4.17%				100.00%	USD	25000000	$25,000,000.00	Primary				$0.00			75578	USD	$75,578.00			Pollution Legal Liability	M&D & Estimate	EL		28.23%	20.00%				20.00%							50.27%				1042500					$945.00							$1,042,500.00	$3,152.00																	Demo Generator	13/01/2026	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Verdanta Chemicals Ltd	Delgado, Marta	Delgado, Marta	15/02/2026	2026	14/02/2027	05/02/2026	Mosaic UK	Environmental Liability	Mosaic UK	2026		Yes		DEMO00023AA		DEMO00023	DEMO00023AA			BDEMO00023		Gallagher	Gallagher Limited	2073					15/02/2027	365	12	Line Slip (Non-Binding)	Open Market	Nigeria	United States	Illinois		10002	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS015	Energy					221118	Other Electric Power Generation		Hiscox Syndicates Ltd	Lloyds Ark Syndicate Management Limited	10.00%	10.00%			10.00%				100.00%	USD	50000000	$50,000,000.00	Excess				$0.00			189205	USD	$189,205.00			Pollution Legal Liability	M&D & Estimate	EL		29.06%	20.00%				20.00%							38.11%				5000000					$5,676.00							$5,000,000.00	$18,921.00																	Demo Generator	06/02/2026	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Ironvale Manufacturing Inc	Ashby, Rowan	Ashby, Rowan	12/03/2026	2026	11/03/2027	04/03/2026	Mosaic UK	Environmental Liability	Mosaic UK	2026		Yes		DEMO00024AA		DEMO00024	DEMO00024AA			BDEMO00024		Gallagher	Gallagher Limited	9230					12/03/2027	365	12	Line Slip (Non-Binding)	Open Market	Mexico	United Kingdom			10016	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS001	Energy					221118	Other Electric Power Generation			XL Catlin Insurance Company Ltd	2.50%	2.50%			2.50%				100.00%	USD	500000000	$500,000,000.00	Primary				$0.00			1057244	USD	$1,057,244.00			Pollution Legal Liability	M&D & Estimate	EL		36.03%	20.00%				20.00%							59.58%				12500000					$7,929.00							$12,500,000.00	$26,431.00																	Demo Generator	07/03/2026	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Lumenpath Systems Inc	Lindqvist, Sara	Lindqvist, Sara	16/10/2025	2025	14/01/2027	30/09/2025	Mosaic UK	Cyber	Mosaic UK	2025		Yes		DEMO00025AA		DEMO00025	DEMO00025AA			BDEMO00025		Aon	Aon Limited	9609					15/01/2027	456	15	Direct	Open Market	Worldwide	Netherlands			10012	H. TRANSPORTATION AND STORAGE	MOS032	Transport					488310	Port and Harbor Operations		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	10.00%	10.00%			10.00%				100.00%	USD	100000000	$100,000,000.00	Excess				$0.00			425052	USD	$425,052.00			Cyber Liability	M&D & Estimate	CY		20.69%	20.00%				20.00%							50.03%				10000000					$12,752.00							$10,000,000.00	$42,505.00																	Demo Generator	06/10/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Arcadia Cloud Services Ltd	Delgado, Marta	Delgado, Marta	06/11/2025	2025	04/02/2027	07/10/2025	Mosaic UK	Cyber	Mosaic UK	2025		Yes		DEMO00026AA		DEMO00026	DEMO00026AA			BDEMO00026		Aon	Aon Limited	2269					05/02/2027	456	15	Line Slip (Non-Binding)	Open Market	Worldwide with USA exclusions	United States	Texas		10010	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS005	Energy					221118	Other Electric Power Generation			XL Catlin Insurance Company Ltd	1.50%	1.50%			1.50%				100.00%	USD	2000000000	$2,000,000,000.00	Primary				$0.00			2018986	USD	$2,018,986.00			Cyber Liability	M&D & Estimate	CY		35.83%	20.00%				20.00%							42.22%				30000000					$9,085.00							$30,000,000.00	$30,285.00																	Demo Generator	20/10/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Quillstone Software Group	Okafor, Chidi	Okafor, Chidi	27/12/2025	2025	26/12/2026	02/12/2025	Mosaic UK	Cyber	Mosaic UK	2025		Yes		DEMO00027AA		DEMO00027	DEMO00027AA			BDEMO00027		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	9320					27/12/2026	365	12	Direct	Facility/DUA	Worldwide excluding USA	Switzerland			10003	C. MANUFACTURING	MOS015	Manufacturing					325199	All Other Basic Organic Chemical Manufacturing		Hiscox Syndicates Ltd	Lloyds Ark Syndicate Management Limited	5.00%	5.00%			5.00%				100.00%	USD	2000000000	$2,000,000,000.00	Excess				$0.00			7169483	USD	$7,169,483.00			Cyber Liability	M&D & Estimate	CY		22.23%	20.00%				20.00%							59.81%				100000000					$107,542.00							$100,000,000.00	$358,474.00																	Demo Generator	11/12/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Northgate Data Networks	Delgado, Marta	Delgado, Marta	07/01/2026	2026	07/04/2027	01/01/2026	Mosaic UK	Cyber	Mosaic UK	2026		Yes		DEMO00028AA		DEMO00028	DEMO00028AA			BDEMO00028		Lockton	Lockton Limited	1940					08/04/2027	456	15	Direct	Facility/DUA	Colombia	United States	New York		10009	H. TRANSPORTATION AND STORAGE	MOS012	Transport					488310	Port and Harbor Operations		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	7.50%	7.50%			7.50%				100.00%	USD	50000000	$50,000,000.00	Excess				$0.00			215512	USD	$215,512.00			Cyber Liability	M&D & Estimate	CY		20.34%	20.00%				20.00%							49.01%				3750000					$4,849.00							$3,750,000.00	$16,163.00																	Demo Generator	24/12/2025	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Bellweather Retail Group	Ashby, Rowan	Ashby, Rowan	01/02/2026	2026	31/01/2027	10/01/2026	Mosaic UK	Cyber	Mosaic UK	2026		Yes		DEMO00029AA		DEMO00029	DEMO00029AA			BDEMO00029		Marsh	Marsh Limited	9842					01/02/2027	365	12	Line Slip (Non-Binding)	Facility/DUA	Nigeria	Singapore			10013	C. MANUFACTURING	MOS037	Manufacturing					325199	All Other Basic Organic Chemical Manufacturing		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	10.00%	10.00%			10.00%				100.00%	USD	100000000	$100,000,000.00	Primary				$0.00			97962	USD	$97,962.00			Cyber Liability	M&D & Estimate	CY		38.14%	20.00%				20.00%							38.05%				10000000					$2,939.00							$10,000,000.00	$9,796.00																	Demo Generator	24/01/2026	Ashby, Rowan				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Sundial Hospitality Holdings	Lindqvist, Sara	Lindqvist, Sara	16/03/2026	2026	15/03/2027	22/02/2026	Mosaic UK	Cyber	Mosaic UK	2026		Yes		DEMO00030AA		DEMO00030	DEMO00030AA			BDEMO00030		Marsh	Marsh Limited	3200					16/03/2027	365	12	Open Market	Facility/DUA	Mexico	Switzerland			10003	G. WHOLESALE AND RETAIL TRADE	MOS036	Retail					445110	Supermarkets and Other Grocery Retailers			XL Catlin Insurance Company Ltd	2.50%	2.50%			2.50%				100.00%	USD	50000000	$50,000,000.00	Primary				$0.00			145049	USD	$145,049.00			Cyber Liability	M&D & Estimate	CY		31.40%	20.00%				20.00%							55.76%				1250000					$1,088.00							$1,250,000.00	$3,626.00																	Demo Generator	14/03/2026	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Corvid Logistics BV	Delgado, Marta	Delgado, Marta	11/10/2025	2025	10/10/2026	29/09/2025	Mosaic UK	Cyber	Mosaic UK	2025		Yes		DEMO00031AA		DEMO00031	DEMO00031AA			BDEMO00031		Gallagher	Gallagher Limited	8407					11/10/2026	365	12	Direct	Open Market	Indonesia	Netherlands			10015	B. MINING AND QUARRYING	MOS032	Mining					212290	Other Metal Ore Mining		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	10.00%	10.00%			10.00%				100.00%	USD	50000000	$50,000,000.00	Primary				$0.00			67072	USD	$67,072.00			Cyber Liability	M&D & Estimate	CY		24.84%	20.00%				20.00%							52.17%				5000000					$2,012.00							$5,000,000.00	$6,707.00																	Demo Generator	28/09/2025	Delgado, Marta				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Cardinal Union Bank NA	Okafor, Chidi	Okafor, Chidi	23/10/2025	2025	22/10/2026	08/10/2025	Mosaic UK	Financial Institutions	Mosaic UK	2025		Yes		DEMO00032AA		DEMO00032	DEMO00032AA			BDEMO00032		Lockton	Lockton Limited	4066					23/10/2026	365	12	Direct	Facility/DUA	Worldwide	United States	Illinois		10000	B. MINING AND QUARRYING	MOS026	Mining					212290	Other Metal Ore Mining		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	4.17%	4.17%			4.17%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			684520	USD	$684,520.00			FI Professional Indemnity	M&D & Estimate	FI		32.51%	20.00%				20.00%							38.25%				10425000					$8,563.00							$10,425,000.00	$28,544.00																	Demo Generator	06/10/2025	Ashby, Rowan				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Harbourline Financial Group	Ashby, Rowan	Ashby, Rowan	10/11/2025	2025	09/11/2026	18/10/2025	Mosaic UK	Financial Institutions	Mosaic UK	2025		Yes		DEMO00033AA		DEMO00033	DEMO00033AA			BDEMO00033		Gallagher	Gallagher Limited	2317					10/11/2026	365	12	Direct	Facility/DUA	Worldwide with USA exclusions	Switzerland			10017	H. TRANSPORTATION AND STORAGE	MOS033	Transport					488310	Port and Harbor Operations		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	7.50%	7.50%			7.50%				100.00%	USD	500000000	$500,000,000.00	Primary				$0.00			1080399	USD	$1,080,399.00			FI Professional Indemnity	M&D & Estimate	FI		26.78%	20.00%				20.00%							38.76%				37500000					$24,309.00							$37,500,000.00	$81,030.00																	Demo Generator	27/10/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Vantage Meridian Bank plc	Lindqvist, Sara	Lindqvist, Sara	16/12/2025	2025	15/12/2026	26/11/2025	Mosaic UK	Financial Institutions	Mosaic UK	2025		Yes		DEMO00034AA		DEMO00034	DEMO00034AA			BDEMO00034		Marsh	Marsh Limited	7456					16/12/2026	365	12	Line Slip (Non-Binding)	Open Market	Worldwide excluding USA	Singapore			10005	C. MANUFACTURING	MOS004	Manufacturing					325199	All Other Basic Organic Chemical Manufacturing		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	3.75%	3.75%			3.75%				100.00%	USD	500000000	$500,000,000.00	Primary				$0.00			996673	USD	$996,673.00			FI Professional Indemnity	M&D & Estimate	FI		25.90%	20.00%				20.00%							46.30%				18750000					$11,213.00							$18,750,000.00	$37,375.00																	Demo Generator	13/12/2025	Delgado, Marta				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Stonebridge Capital Markets	Okafor, Chidi	Okafor, Chidi	17/01/2026	2026	17/04/2027	06/01/2026	Mosaic UK	Financial Institutions	Mosaic UK	2026		Yes		DEMO00035AA		DEMO00035	DEMO00035AA			BDEMO00035		Aon	Aon Limited	6555					18/04/2027	456	15	Direct	Open Market	Colombia	Switzerland			10015	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS018	Energy					221118	Other Electric Power Generation		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	3.75%	3.75%			3.75%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			831590	USD	$831,590.00			FI Professional Indemnity	M&D & Estimate	FI		25.85%	20.00%				20.00%							56.09%				9375000					$9,355.00							$9,375,000.00	$31,185.00																	Demo Generator	11/01/2026	Delgado, Marta				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Cardinal Union Bank NA	Delgado, Marta	Delgado, Marta	06/02/2026	2026	07/05/2027	01/02/2026	Mosaic UK	Financial Institutions	Mosaic UK	2026		Yes		DEMO00036AA		DEMO00036	DEMO00036AA			BDEMO00036		Lockton	Lockton Limited	1975					08/05/2027	456	15	Open Market	Open Market	Nigeria	Singapore			10012	B. MINING AND QUARRYING	MOS036	Mining					212290	Other Metal Ore Mining		Hiscox Syndicates Ltd	XL Catlin Insurance Company Ltd	3.75%	3.75%			3.75%				100.00%	USD	50000000	$50,000,000.00	Primary				$0.00			194954	USD	$194,954.00			FI Professional Indemnity	M&D & Estimate	FI		24.54%	20.00%				20.00%							47.39%				1875000					$2,193.00							$1,875,000.00	$7,311.00																	Demo Generator	29/01/2026	Delgado, Marta				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Harbourline Financial Group	Okafor, Chidi	Okafor, Chidi	25/03/2026	2026	24/03/2027	26/02/2026	Mosaic UK	Financial Institutions	Mosaic UK	2026		Yes		DEMO00037AA		DEMO00037	DEMO00037AA			BDEMO00037		Gallagher	Gallagher Limited	2623					25/03/2027	365	12	Direct	Open Market	Mexico	United States	New York		10013	J. INFORMATION AND COMMUNICATION	MOS033	Technology					541512	Computer Systems Design Services			XL Catlin Insurance Company Ltd	3.75%	3.75%			3.75%				100.00%	USD	2000000000	$2,000,000,000.00	Primary				$0.00			4301217	USD	$4,301,217.00			FI Professional Indemnity	M&D & Estimate	FI		23.71%	20.00%				20.00%							50.03%				75000000					$48,389.00							$75,000,000.00	$161,296.00																	Demo Generator	12/03/2026	Delgado, Marta				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Calder & Vance LLP	Delgado, Marta	Delgado, Marta	22/10/2025	2025	21/10/2026	10/10/2025	Mosaic UK	Professional Liability	Mosaic UK	2025		Yes		DEMO00038AA		DEMO00038	DEMO00038AA			BDEMO00038		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	5258					22/10/2026	365	12	Line Slip (Non-Binding)	Facility/DUA	Worldwide	Singapore			10020	B. MINING AND QUARRYING	MOS004	Mining					212290	Other Metal Ore Mining		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	1.50%	1.50%			1.50%				100.00%	USD	500000000	$500,000,000.00	Primary				$0.00			2089407	USD	$2,089,407.00			Professional Indemnity	M&D & Estimate	PI		32.16%	20.00%				20.00%							54.17%				7500000					$9,402.00							$7,500,000.00	$31,341.00																	Demo Generator	10/10/2025	Ashby, Rowan				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Ashgrove Consulting Group	Ashby, Rowan	Ashby, Rowan	21/11/2025	2025	20/08/2026	28/10/2025	Mosaic UK	Professional Liability	Mosaic UK	2025		Yes		DEMO00039AA		DEMO00039	DEMO00039AA			BDEMO00039		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	6203					21/08/2026	273	9	Direct	Open Market	Worldwide with USA exclusions	Netherlands			10009	G. WHOLESALE AND RETAIL TRADE	MOS008	Retail					445110	Supermarkets and Other Grocery Retailers			Lloyds Ark Syndicate Management Limited	1.50%	1.50%			1.50%				100.00%	USD	100000000	$100,000,000.00	Primary				$0.00			167583	USD	$167,583.00			Professional Indemnity	M&D & Estimate	PI		31.63%	20.00%				20.00%							42.79%				1500000					$754.00							$1,500,000.00	$2,514.00																	Demo Generator	07/11/2025	Ashby, Rowan				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Pinnacroft Advisory Ltd	Ashby, Rowan	Ashby, Rowan	08/12/2025	2025	06/09/2026	03/12/2025	Mosaic UK	Professional Liability	Mosaic UK	2025		Yes		DEMO00040AA		DEMO00040	DEMO00040AA			BDEMO00040		Aon	Aon Limited	5436					07/09/2026	273	9	Direct	Facility/DUA	Worldwide excluding USA	United Kingdom			10003	J. INFORMATION AND COMMUNICATION	MOS009	Technology					541512	Computer Systems Design Services			Lloyds Ark Syndicate Management Limited	5.00%	5.00%			5.00%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			231648	USD	$231,648.00			Professional Indemnity	M&D & Estimate	PI		39.61%	20.00%				20.00%							52.75%				12500000					$3,475.00							$12,500,000.00	$11,582.00																	Demo Generator	26/11/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Rowntree Actuarial Services	Ashby, Rowan	Ashby, Rowan	03/01/2026	2026	02/01/2027	22/12/2025	Mosaic UK	Professional Liability	Mosaic UK	2026		Yes		DEMO00041AA		DEMO00041	DEMO00041AA			BDEMO00041		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	6011					03/01/2027	365	12	Open Market	Facility/DUA	Colombia	Netherlands			10010	H. TRANSPORTATION AND STORAGE	MOS006	Transport					488310	Port and Harbor Operations		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	1.50%	1.50%			1.50%				100.00%	USD	25000000	$25,000,000.00	Primary				$0.00			51874	USD	$51,874.00			Professional Indemnity	M&D & Estimate	PI		35.50%	20.00%				20.00%							59.67%				375000					$233.00							$375,000.00	$778.00																	Demo Generator	21/12/2025	Delgado, Marta				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Calder & Vance LLP	Okafor, Chidi	Okafor, Chidi	24/02/2026	2026	25/05/2027	17/02/2026	Mosaic UK	Professional Liability	Mosaic UK	2026		Yes		DEMO00042AA		DEMO00042	DEMO00042AA			BDEMO00042		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	1315					26/05/2027	456	15	Open Market	Open Market	Nigeria	Netherlands			10017	G. WHOLESALE AND RETAIL TRADE	MOS003	Retail					445110	Supermarkets and Other Grocery Retailers		Beazley Furlonge Ltd	Lloyds Ark Syndicate Management Limited	4.17%	4.17%			4.17%				100.00%	USD	2000000000	$2,000,000,000.00	Primary				$0.00			1899404	USD	$1,899,404.00			Professional Indemnity	M&D & Estimate	PI		21.02%	20.00%				20.00%							43.55%				83400000					$23,762.00							$83,400,000.00	$79,205.00																	Demo Generator	19/02/2026	Ashby, Rowan				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			In Aggregate												
Ashgrove Consulting Group	Ashby, Rowan	Ashby, Rowan	22/03/2026	2026	21/03/2027	10/03/2026	Mosaic UK	Professional Liability	Mosaic UK	2026		Yes		DEMO00043AA		DEMO00043	DEMO00043AA			BDEMO00043		Aon	Aon Limited	2521					22/03/2027	365	12	Direct	Open Market	Mexico	Singapore			10020	C. MANUFACTURING	MOS022	Manufacturing					325199	All Other Basic Organic Chemical Manufacturing		Beazley Furlonge Ltd	XL Catlin Insurance Company Ltd	4.17%	4.17%			4.17%				100.00%	USD	25000000	$25,000,000.00	Excess				$0.00			72675	USD	$72,675.00			Professional Indemnity	M&D & Estimate	PI		38.65%	20.00%				20.00%							49.00%				1042500					$909.00							$1,042,500.00	$3,031.00																	Demo Generator	07/03/2026	Ashby, Rowan				United Kingdom		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Cardinal Union Bank NA	Delgado, Marta	Delgado, Marta	02/10/2025	2025	01/07/2026	26/09/2025	Mosaic UK	Transactional Liability	Mosaic UK	2025		Yes		DEMO00044AA		DEMO00044	DEMO00044AA			BDEMO00044		Marsh	Marsh Limited	7030					02/07/2026	273	9	Open Market	Open Market	Worldwide	Switzerland			10005	H. TRANSPORTATION AND STORAGE	MOS012	Transport					488310	Port and Harbor Operations			XL Catlin Insurance Company Ltd	5.00%	5.00%			5.00%				100.00%	USD	1000000000	$1,000,000,000.00	Excess				$0.00			3962506	USD	$3,962,506.00			Warranty and Indemnity	M&D & Estimate	TL		21.97%	20.00%				20.00%							44.83%				50000000					$59,438.00							$50,000,000.00	$198,125.00																	Demo Generator	25/09/2025	Delgado, Marta				United States		Exclusion					Currently in Bound status	Currently in Signed Status			Signed	New			In Aggregate												
Harbourline Financial Group	Lindqvist, Sara	Lindqvist, Sara	19/11/2025	2025	18/11/2026	21/10/2025	Mosaic UK	Transactional Liability	Mosaic UK	2025		Yes		DEMO00045AA		DEMO00045	DEMO00045AA			BDEMO00045		Willis Towers Watson (WTW)	Willis Towers Watson (WTW) Limited	7167					19/11/2026	365	12	Line Slip (Non-Binding)	Facility/DUA	Worldwide with USA exclusions	Switzerland			10011	C. MANUFACTURING	MOS032	Manufacturing					325199	All Other Basic Organic Chemical Manufacturing		Beazley Furlonge Ltd	Lloyds Ark Syndicate Management Limited	2.00%	2.00%			2.00%				100.00%	USD	2000000000	$2,000,000,000.00	Primary				$0.00			7052751	USD	$7,052,751.00			Warranty and Indemnity	M&D & Estimate	TL		39.93%	20.00%				20.00%							56.55%				40000000					$42,317.00							$40,000,000.00	$141,055.00																	Demo Generator	30/10/2025	Delgado, Marta				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	New			Each and Every Loss												
Vantage Meridian Bank plc	Ashby, Rowan	Ashby, Rowan	17/12/2025	2025	15/09/2026	11/12/2025	Mosaic UK	Transactional Liability	Mosaic UK	2025		Yes		DEMO00046AA		DEMO00046	DEMO00046AA			BDEMO00046		Marsh	Marsh Limited	7193					16/09/2026	273	9	Open Market	Open Market	Worldwide excluding USA	Singapore			10012	G. WHOLESALE AND RETAIL TRADE	MOS022	Retail					445110	Supermarkets and Other Grocery Retailers			Lloyds Ark Syndicate Management Limited	2.00%	2.00%			2.00%				100.00%	USD	250000000	$250,000,000.00	Primary				$0.00			953820	USD	$953,820.00			Warranty and Indemnity	M&D & Estimate	TL		23.09%	20.00%				20.00%							51.61%				5000000					$5,723.00							$5,000,000.00	$19,076.00																	Demo Generator	10/12/2025	Ashby, Rowan				United Kingdom		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
Stonebridge Capital Markets	Delgado, Marta	Delgado, Marta	24/01/2026	2026	24/04/2027	04/01/2026	Mosaic UK	Transactional Liability	Mosaic UK	2026		Yes		DEMO00047AA		DEMO00047	DEMO00047AA			BDEMO00047		Aon	Aon Limited	1781					25/04/2027	456	15	Line Slip (Non-Binding)	Open Market	Colombia	Netherlands			10013	D. ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY	MOS028	Energy					221118	Other Electric Power Generation			XL Catlin Insurance Company Ltd	2.00%	2.00%			2.00%				100.00%	USD	2000000000	$2,000,000,000.00	Primary				$0.00			5267789	USD	$5,267,789.00			Warranty and Indemnity	M&D & Estimate	TL		23.83%	20.00%				20.00%							38.26%				40000000					$31,607.00							$40,000,000.00	$105,356.00																	Demo Generator	11/01/2026	Ashby, Rowan				United States		Affirmation					Currently in Bound status	Currently in Signed Status			Signed	Renewed			Each and Every Loss												
